rule_id,rule_name,rule_type,created_at,last_updated,status,mapped_technique
RUL-057,DET-T1055-Process_Injection_57,Sigma Signature,2026-05-15,2026-07-14,Active,T1055
RUL-058,DET-T1090-Proxy_58,Behavioral Anomaly,2026-06-22,2026-08-21,Active,T1090
RUL-059,DET-T1190-Exploit_Public-Facing_Application_59,Correlation Rule,2026-04-23,2026-06-22,Active,T1190
RUL-060,DET-T1078-Valid_Accounts_60,Sigma Signature,2026-05-26,2026-07-25,Active,T1078
RUL-061,DET-T1059-Command_and_Scripting_Interpreter_61,Behavioral Anomaly,2026-04-13,2026-06-12,Active,T1059
RUL-062,DET-T1566-Phishing_62,Correlation Rule,2026-04-14,2026-06-13,Active,T1566
RUL-063,DET-T1053-Scheduled_Task/Job_63,Sigma Signature,2026-05-17,2026-07-16,Active,T1053
RUL-064,DET-T1021-Remote_Services_64,Behavioral Anomaly,2026-04-20,2026-06-19,Active,T1021
RUL-065,DET-T1003-OS_Credential_Dumping_65,Correlation Rule,2026-06-08,2026-08-07,Active,T1003
RUL-066,DET-T1046-Network_Service_Discovery_66,Sigma Signature,2026-04-03,2026-06-02,Active,T1046
RUL-067,DET-T1562-Impair_Defenses_67,Behavioral Anomaly,2026-06-24,2026-08-23,Active,T1562
RUL-068,DET-T1110-Brute_Force_68,Correlation Rule,2026-06-27,2026-08-26,Active,T1110
RUL-069,DET-T1070-Indicator_Removal_on_Host_69,Sigma Signature,2026-04-09,2026-06-08,Active,T1070
RUL-070,DET-T1567-Exfiltration_Over_Web_Service_70,Behavioral Anomaly,2026-06-03,2026-08-02,Active,T1567
RUL-071,DET-T1486-Data_Encrypted_for_Impact_71,Correlation Rule,2025-09-21,2025-11-20,Outdated,T1486
RUL-072,DET-T1055-Process_Injection_72,Sigma Signature,2026-06-22,2026-08-21,Active,T1055
RUL-073,DET-T1090-Proxy_73,Behavioral Anomaly,2026-06-03,2026-08-02,Active,T1090
RUL-074,DET-T1190-Exploit_Public-Facing_Application_74,Correlation Rule,2026-06-20,2026-08-19,Active,T1190
RUL-075,DET-T1078-Valid_Accounts_75,Sigma Signature,2026-05-15,2026-07-14,Active,T1078
RUL-076,DET-T1059-Command_and_Scripting_Interpreter_76,Behavioral Anomaly,2026-05-28,2026-07-27,Active,T1059
RUL-077,DET-T1566-Phishing_77,Correlation Rule,2026-05-05,2026-07-04,Active,T1566
RUL-078,DET-T1053-Scheduled_Task/Job_78,Sigma Signature,2026-04-12,2026-06-11,Active,T1053
RUL-079,DET-T1021-Remote_Services_79,Behavioral Anomaly,2026-05-17,2026-07-16,Active,T1021
RUL-080,DET-T1003-OS_Credential_Dumping_80,Correlation Rule,2026-06-12,2026-08-11,Active,T1003
RUL-081,DET-T1046-Network_Service_Discovery_81,Sigma Signature,2026-05-16,2026-07-15,Active,T1046
RUL-082,DET-T1562-Impair_Defenses_82,Behavioral Anomaly,2026-05-18,2026-07-17,Active,T1562
RUL-083,DET-T1110-Brute_Force_83,Correlation Rule,2026-06-06,2026-08-05,Active,T1110
RUL-084,DET-T1070-Indicator_Removal_on_Host_84,Sigma Signature,2026-04-08,2026-06-07,Active,T1070
RUL-085,DET-T1567-Exfiltration_Over_Web_Service_85,Behavioral Anomaly,2026-05-29,2026-07-28,Active,T1567
RUL-086,DET-T1486-Data_Encrypted_for_Impact_86,Correlation Rule,2026-04-04,2026-06-03,Active,T1486
RUL-087,DET-T1055-Process_Injection_87,Sigma Signature,2026-04-06,2026-06-05,Active,T1055
RUL-088,DET-T1090-Proxy_88,Behavioral Anomaly,2026-04-11,2026-06-10,Active,T1090
RUL-089,DET-T1190-Exploit_Public-Facing_Application_89,Correlation Rule,2025-11-16,2026-01-15,Outdated,T1190
RUL-090,DET-T1078-Valid_Accounts_90,Sigma Signature,2026-04-16,2026-06-15,Active,T1078
RUL-091,DET-T1059-Command_and_Scripting_Interpreter_91,Behavioral Anomaly,2026-04-12,2026-06-11,Active,T1059
RUL-092,DET-T1566-Phishing_92,Correlation Rule,2026-06-11,2026-08-10,Active,T1566
RUL-093,DET-T1053-Scheduled_Task/Job_93,Sigma Signature,2026-04-25,2026-06-24,Active,T1053
RUL-094,DET-T1021-Remote_Services_94,Behavioral Anomaly,2026-03-31,2026-05-30,Active,T1021
RUL-095,DET-T1003-OS_Credential_Dumping_95,Correlation Rule,2026-06-01,2026-07-31,Active,T1003
RUL-096,DET-T1046-Network_Service_Discovery_96,Sigma Signature,2026-06-12,2026-08-11,Active,T1046
RUL-097,DET-T1562-Impair_Defenses_97,Behavioral Anomaly,2026-05-04,2026-07-03,Active,T1562
RUL-098,DET-T1110-Brute_Force_98,Correlation Rule,2026-05-15,2026-07-14,Active,T1110
RUL-099,DET-T1070-Indicator_Removal_on_Host_99,Sigma Signature,2026-05-29,2026-07-28,Active,T1070
RUL-100,DET-T1567-Exfiltration_Over_Web_Service_100,Behavioral Anomaly,2026-04-12,2026-06-11,Active,T1567
