escalation_id,alert_id,analyst_id,required,escalated_at,escalation_target,incident_id,status
ESC-0973,ALT-003833,ANL-040,Yes,2026-09-10 08:53:00,Tier-2 CSIRT,INC-2026974,Escalated
ESC-0977,ALT-003885,ANL-040,Yes,2026-08-28 09:36:00,Tier-2 CSIRT,INC-2026978,Escalated
ESC-1021,ALT-004211,ANL-026,Yes,2026-06-12 09:53:00,Tier-2 CSIRT,INC-2027022,Escalated
ESC-1042,ALT-004345,ANL-025,Yes,2026-09-02 13:24:00,Tier-2 CSIRT,INC-2027043,Escalated
ESC-1106,ALT-004839,ANL-024,Yes,2026-07-05 04:58:00,Tier-2 CSIRT,INC-2027107,Escalated
ESC-1140,ALT-005063,ANL-030,Yes,2026-08-23 06:01:00,Tier-2 CSIRT,INC-2027141,Escalated
ESC-1171,ALT-005420,ANL-036,Yes,2026-07-22 17:56:00,Tier-2 CSIRT,INC-2027172,Escalated
ESC-1172,ALT-005433,ANL-036,Yes,2026-08-06 03:42:00,Tier-2 CSIRT,INC-2027173,Escalated
ESC-1198,ALT-005649,ANL-034,Yes,2026-06-23 19:16:00,Tier-2 CSIRT,INC-2027199,Escalated
ESC-1202,ALT-005660,ANL-033,Yes,2026-06-15 09:39:00,Tier-2 CSIRT,INC-2027203,Escalated
ESC-1250,ALT-006081,ANL-039,Yes,2026-08-12 14:50:00,Tier-2 CSIRT,INC-2027251,Escalated
ESC-1261,ALT-006187,ANL-034,Yes,2026-06-18 01:08:00,Tier-2 CSIRT,INC-2027262,Escalated
ESC-1293,ALT-006448,ANL-027,Yes,2026-08-05 17:44:00,Tier-2 CSIRT,INC-2027294,Escalated
ESC-1335,ALT-006732,ANL-027,Yes,2026-09-01 14:41:00,Tier-2 CSIRT,INC-2027336,Escalated
ESC-1345,ALT-006795,ANL-023,Yes,2026-07-13 16:09:00,Tier-2 CSIRT,INC-2027346,Escalated
ESC-1351,ALT-006827,ANL-030,Yes,2026-07-20 03:05:00,Tier-2 CSIRT,INC-2027352,Escalated
ESC-1387,ALT-007067,ANL-023,Yes,2026-07-04 07:18:00,Tier-2 CSIRT,INC-2027388,Escalated
ESC-1405,ALT-007181,ANL-030,Yes,2026-07-05 22:34:00,Tier-2 CSIRT,INC-2027406,Escalated
ESC-1439,ALT-007433,ANL-044,Yes,2026-06-12 12:32:00,Tier-2 CSIRT,INC-2027440,Escalated
ESC-1452,ALT-007547,ANL-043,Yes,2026-07-06 02:11:00,Tier-2 CSIRT,INC-2027453,Escalated
ESC-1464,ALT-007623,ANL-050,Yes,2026-07-04 01:49:00,Tier-2 CSIRT,INC-2027465,Escalated
ESC-1535,ALT-008202,ANL-045,Yes,2026-07-15 10:54:00,Tier-2 CSIRT,INC-2027536,Escalated
ESC-1551,ALT-008343,ANL-050,Yes,2026-08-08 15:28:00,Tier-2 CSIRT,INC-2027552,Escalated
ESC-1562,ALT-008415,ANL-053,Yes,2026-07-23 09:43:00,Tier-2 CSIRT,INC-2027563,Escalated
ESC-1582,ALT-008603,ANL-048,Yes,2026-09-09 12:17:00,Tier-2 CSIRT,INC-2027583,Escalated
ESC-1588,ALT-008676,ANL-049,Yes,2026-06-26 21:11:00,Tier-2 CSIRT,INC-2027589,Escalated
ESC-1595,ALT-008743,ANL-055,Yes,2026-07-10 14:07:00,Tier-2 CSIRT,INC-2027596,Escalated
ESC-1615,ALT-008910,ANL-052,Yes,2026-07-31 15:07:00,Tier-2 CSIRT,INC-2027616,Escalated
ESC-1657,ALT-009264,ANL-051,Yes,2026-07-13 02:19:00,Tier-2 CSIRT,INC-2027658,Escalated
ESC-1659,ALT-009286,ANL-052,Yes,2026-06-21 17:50:00,Tier-2 CSIRT,INC-2027660,Escalated
ESC-1662,ALT-009333,ANL-049,Yes,2026-07-28 11:39:00,Tier-2 CSIRT,INC-2027663,Escalated
ESC-1684,ALT-009465,ANL-054,Yes,2026-06-19 22:42:00,Tier-2 CSIRT,INC-2027685,Escalated
ESC-1685,ALT-009472,ANL-044,Yes,2026-07-03 04:11:00,Tier-2 CSIRT,INC-2027686,Escalated
ESC-1695,ALT-009519,ANL-051,Yes,2026-08-23 18:00:00,Tier-2 CSIRT,INC-2027696,Escalated
ESC-1707,ALT-009576,ANL-042,Yes,2026-06-27 00:01:00,Tier-2 CSIRT,INC-2027708,Escalated
ESC-1711,ALT-009594,ANL-042,Yes,2026-08-20 21:54:00,Tier-2 CSIRT,INC-2027712,Escalated
ESC-1728,ALT-009724,ANL-048,Yes,2026-08-29 11:23:00,Tier-2 CSIRT,INC-2027729,Escalated
ESC-1759,ALT-009986,ANL-045,Yes,2026-07-12 20:51:00,Tier-2 CSIRT,INC-2027760,Escalated
ESC-1760,ALT-010001,ANL-041,Yes,2026-07-22 12:15:00,Tier-2 CSIRT,INC-2027761,Escalated
ESC-1769,ALT-010090,ANL-046,Yes,2026-07-11 04:46:00,Tier-2 CSIRT,INC-2027770,Escalated
ESC-1778,ALT-010151,ANL-045,Yes,2026-06-18 16:49:00,Tier-2 CSIRT,INC-2027779,Escalated
ESC-1786,ALT-010211,ANL-049,Yes,2026-08-24 18:06:00,Tier-2 CSIRT,INC-2027787,Escalated
ESC-1876,ALT-010991,ANL-062,Yes,2026-09-02 07:36:00,Tier-2 CSIRT,INC-2027877,Escalated
ESC-1967,ALT-011761,ANL-075,Yes,2026-07-24 15:25:00,Tier-2 CSIRT,INC-2027968,Escalated
ESC-1970,ALT-011777,ANL-063,Yes,2026-06-16 11:35:00,Tier-2 CSIRT,INC-2027971,Escalated
ESC-1986,ALT-011877,ANL-067,Yes,2026-06-27 10:28:00,Tier-2 CSIRT,INC-2027987,Escalated
ESC-1992,ALT-011925,ANL-065,Yes,2026-07-25 01:44:00,Tier-2 CSIRT,INC-2027993,Escalated
ESC-1997,ALT-011960,ANL-068,Yes,2026-07-28 08:36:00,Tier-2 CSIRT,INC-2027998,Escalated
