escalation_id,alert_id,analyst_id,required,escalated_at,escalation_target,incident_id,status
ESC-0018,ALT-000062,ANL-001,Discretionary,2026-08-06 09:06:00,Lead Analyst,INC-2026019,Escalated
ESC-0019,ALT-000066,ANL-003,Discretionary,2026-07-23 04:58:00,Lead Analyst,INC-2026020,Escalated
ESC-0020,ALT-000070,ANL-018,Discretionary,2026-09-03 22:18:00,Lead Analyst,INC-2026021,Escalated
ESC-0021,ALT-000080,ANL-022,Discretionary,2026-07-14 19:09:00,Lead Analyst,INC-2026022,Escalated
ESC-0022,ALT-000083,ANL-022,Discretionary,2026-08-18 16:25:00,Lead Analyst,INC-2026023,Escalated
ESC-0023,ALT-000087,ANL-008,Yes,2026-08-20 23:27:00,Tier-2 CSIRT,INC-2026024,Escalated
ESC-0024,ALT-000092,ANL-022,Yes,2026-09-07 23:04:00,Tier-2 CSIRT,INC-2026025,Escalated
ESC-0025,ALT-000097,ANL-012,Yes,2026-09-01 06:33:00,Tier-2 CSIRT,INC-2026026,Escalated
ESC-0026,ALT-000102,ANL-020,Discretionary,2026-08-09 12:20:00,Lead Analyst,INC-2026027,Escalated
ESC-0027,ALT-000103,ANL-017,Discretionary,2026-09-07 18:15:00,Lead Analyst,INC-2026028,Escalated
ESC-0028,ALT-000105,ANL-021,Discretionary,2026-06-25 15:05:00,Lead Analyst,INC-2026029,Escalated
ESC-0029,ALT-000115,ANL-022,Yes,2026-06-23 13:48:00,Tier-2 CSIRT,INC-2026030,Escalated
ESC-0030,ALT-000124,ANL-003,Yes,2026-06-16 21:36:00,Tier-2 CSIRT,INC-2026031,Escalated
ESC-0031,ALT-000127,ANL-001,Yes,2026-08-29 08:31:00,Tier-2 CSIRT,INC-2026032,Escalated
ESC-0032,ALT-000136,ANL-015,Discretionary,2026-08-07 07:57:00,Lead Analyst,INC-2026033,Escalated
ESC-0033,ALT-000138,ANL-011,Yes,2026-08-27 03:09:00,Tier-2 CSIRT,INC-2026034,Escalated
ESC-0034,ALT-000145,ANL-017,Discretionary,2026-08-03 05:20:00,Lead Analyst,INC-2026035,Escalated
ESC-0035,ALT-000147,ANL-021,Yes,2026-06-17 04:36:00,Tier-2 CSIRT,INC-2026036,Escalated
ESC-0036,ALT-000153,ANL-013,Discretionary,2026-06-30 16:53:00,Lead Analyst,INC-2026037,Escalated
ESC-0037,ALT-000155,ANL-017,Yes,2026-09-05 16:36:00,Tier-2 CSIRT,INC-2026038,Escalated
ESC-0038,ALT-000156,ANL-019,Discretionary,2026-08-02 09:50:00,Lead Analyst,INC-2026039,Escalated
ESC-0039,ALT-000161,ANL-016,Discretionary,2026-08-02 04:22:00,Lead Analyst,INC-2026040,Escalated
ESC-0040,ALT-000164,ANL-008,Yes,2026-07-23 04:41:00,Tier-2 CSIRT,INC-2026041,Escalated
ESC-0041,ALT-000168,ANL-019,Discretionary,2026-07-26 06:04:00,Lead Analyst,INC-2026042,Escalated
ESC-0042,ALT-000170,ANL-004,Discretionary,2026-08-30 18:39:00,Lead Analyst,INC-2026043,Escalated
ESC-0043,ALT-000177,ANL-002,Yes,2026-07-19 12:50:00,Tier-2 CSIRT,INC-2026044,Escalated
ESC-0044,ALT-000187,ANL-022,Yes,2026-06-19 02:19:00,Tier-2 CSIRT,INC-2026045,Escalated
ESC-0045,ALT-000189,ANL-004,Discretionary,2026-08-12 15:50:00,Lead Analyst,INC-2026046,Escalated
ESC-0046,ALT-000200,ANL-013,Yes,2026-08-19 08:25:00,Tier-2 CSIRT,INC-2026047,Escalated
ESC-0047,ALT-000203,ANL-009,Yes,2026-06-30 12:14:00,Tier-2 CSIRT,INC-2026048,Escalated
ESC-0048,ALT-000204,ANL-001,Yes,2026-08-11 17:57:00,Tier-2 CSIRT,INC-2026049,Escalated
ESC-0049,ALT-000206,ANL-020,Discretionary,2026-08-29 11:29:00,Lead Analyst,INC-2026050,Escalated
ESC-0050,ALT-000208,ANL-004,Discretionary,2026-07-23 16:36:00,Lead Analyst,INC-2026051,Escalated
ESC-0051,ALT-000213,ANL-019,Yes,2026-06-30 09:13:00,Tier-2 CSIRT,INC-2026052,Escalated
ESC-0052,ALT-000214,ANL-005,Discretionary,2026-09-02 17:29:00,Lead Analyst,INC-2026053,Escalated
ESC-0053,ALT-000215,ANL-011,Discretionary,2026-08-05 18:34:00,Lead Analyst,INC-2026054,Escalated
ESC-0054,ALT-000217,ANL-011,Yes,2026-06-23 00:54:00,Tier-2 CSIRT,INC-2026055,Escalated
ESC-0055,ALT-000218,ANL-010,Discretionary,2026-07-01 19:48:00,Lead Analyst,INC-2026056,Escalated
ESC-0056,ALT-000226,ANL-018,Yes,2026-07-17 16:23:00,Tier-2 CSIRT,INC-2026057,Escalated
ESC-0057,ALT-000229,ANL-015,Yes,2026-08-07 05:12:00,Tier-2 CSIRT,INC-2026058,Escalated
ESC-0058,ALT-000236,ANL-005,Yes,2026-08-27 06:15:00,Tier-2 CSIRT,INC-2026059,Escalated
ESC-0059,ALT-000239,ANL-013,Yes,2026-06-27 04:24:00,Tier-2 CSIRT,INC-2026060,Escalated
ESC-0060,ALT-000252,ANL-003,Discretionary,2026-06-21 07:35:00,Lead Analyst,INC-2026061,Escalated
ESC-0061,ALT-000255,ANL-011,Discretionary,2026-07-22 03:03:00,Lead Analyst,INC-2026062,Escalated
ESC-0062,ALT-000256,ANL-012,Yes,2026-07-30 02:40:00,Tier-2 CSIRT,INC-2026063,Escalated
ESC-0063,ALT-000257,ANL-011,Discretionary,2026-07-04 15:36:00,Lead Analyst,INC-2026064,Escalated
ESC-0064,ALT-000258,ANL-010,Discretionary,2026-08-04 22:41:00,Lead Analyst,INC-2026065,Escalated
ESC-0065,ALT-000261,ANL-003,Discretionary,2026-07-20 06:27:00,Lead Analyst,INC-2026066,Escalated
ESC-0066,ALT-000268,ANL-002,Yes,2026-07-22 01:28:00,Tier-2 CSIRT,INC-2026067,Escalated
ESC-0067,ALT-000270,ANL-008,Discretionary,2026-09-04 08:42:00,Lead Analyst,INC-2026068,Escalated
ESC-0068,ALT-000271,ANL-004,Yes,2026-08-06 13:25:00,Tier-2 CSIRT,INC-2026069,Escalated
ESC-0069,ALT-000273,ANL-019,Yes,2026-07-12 16:14:00,Tier-2 CSIRT,INC-2026070,Escalated
ESC-0070,ALT-000277,ANL-011,Yes,2026-07-10 02:46:00,Tier-2 CSIRT,INC-2026071,Escalated
ESC-0071,ALT-000278,ANL-014,Yes,2026-09-02 17:58:00,Tier-2 CSIRT,INC-2026072,Escalated
ESC-0072,ALT-000279,ANL-005,Yes,2026-08-02 02:24:00,Tier-2 CSIRT,INC-2026073,Escalated
ESC-0073,ALT-000280,ANL-013,Discretionary,2026-07-11 12:11:00,Lead Analyst,INC-2026074,Escalated
ESC-0074,ALT-000281,ANL-005,Discretionary,2026-08-26 10:05:00,Lead Analyst,INC-2026075,Escalated
ESC-0075,ALT-000285,ANL-020,Discretionary,2026-08-07 00:17:00,Lead Analyst,INC-2026076,Escalated
ESC-0076,ALT-000302,ANL-003,Yes,2026-07-02 10:44:00,Tier-2 CSIRT,INC-2026077,Escalated
ESC-0077,ALT-000304,ANL-006,Discretionary,2026-06-13 03:44:00,Lead Analyst,INC-2026078,Escalated
ESC-0078,ALT-000306,ANL-010,Discretionary,2026-09-06 06:02:00,Lead Analyst,INC-2026079,Escalated
ESC-0079,ALT-000308,ANL-021,Yes,2026-07-18 10:04:00,Tier-2 CSIRT,INC-2026080,Escalated
ESC-0080,ALT-000318,ANL-019,Discretionary,2026-06-20 04:22:00,Lead Analyst,INC-2026081,Escalated
ESC-0081,ALT-000323,ANL-010,Yes,2026-06-12 09:23:00,Tier-2 CSIRT,INC-2026082,Escalated
ESC-0082,ALT-000333,ANL-022,Yes,2026-06-21 09:58:00,Tier-2 CSIRT,INC-2026083,Escalated
ESC-0083,ALT-000336,ANL-015,Yes,2026-08-04 17:02:00,Tier-2 CSIRT,INC-2026084,Escalated
ESC-0084,ALT-000346,ANL-003,Yes,2026-08-23 18:07:00,Tier-2 CSIRT,INC-2026085,Escalated
ESC-0085,ALT-000348,ANL-021,Yes,2026-08-25 05:37:00,Tier-2 CSIRT,INC-2026086,Escalated
ESC-0086,ALT-000350,ANL-001,Discretionary,2026-08-01 17:07:00,Lead Analyst,INC-2026087,Escalated
ESC-0087,ALT-000352,ANL-004,Discretionary,2026-09-07 19:38:00,Lead Analyst,INC-2026088,Escalated
ESC-0088,ALT-000356,ANL-020,Discretionary,2026-08-12 14:11:00,Lead Analyst,INC-2026089,Escalated
ESC-0089,ALT-000360,ANL-012,Discretionary,2026-06-23 01:45:00,Lead Analyst,INC-2026090,Escalated
ESC-0090,ALT-000368,ANL-018,Yes,2026-09-06 06:20:00,Tier-2 CSIRT,INC-2026091,Escalated
ESC-0091,ALT-000369,ANL-010,Discretionary,2026-06-29 00:56:00,Lead Analyst,INC-2026092,Escalated
ESC-0092,ALT-000373,ANL-004,Discretionary,2026-07-02 16:06:00,Lead Analyst,INC-2026093,Escalated
ESC-0093,ALT-000374,ANL-013,Discretionary,2026-06-23 06:41:00,Lead Analyst,INC-2026094,Escalated
ESC-0094,ALT-000377,ANL-018,Yes,2026-07-16 13:02:00,Tier-2 CSIRT,INC-2026095,Escalated
ESC-0095,ALT-000378,ANL-017,Discretionary,2026-06-13 03:30:00,Lead Analyst,INC-2026096,Escalated
ESC-0096,ALT-000380,ANL-003,Yes,2026-09-08 12:06:00,Tier-2 CSIRT,INC-2026097,Escalated
ESC-0097,ALT-000386,ANL-014,Discretionary,2026-08-31 18:57:00,Lead Analyst,INC-2026098,Escalated
ESC-0098,ALT-000387,ANL-005,Discretionary,2026-07-28 10:27:00,Lead Analyst,INC-2026099,Escalated
ESC-0099,ALT-000392,ANL-009,Discretionary,2026-08-05 10:01:00,Lead Analyst,INC-2026100,Escalated
ESC-0100,ALT-000393,ANL-002,Yes,2026-07-10 19:49:00,Tier-2 CSIRT,INC-2026101,Escalated
ESC-0101,ALT-000398,ANL-013,Discretionary,2026-06-13 14:07:00,Lead Analyst,INC-2026102,Escalated
ESC-0102,ALT-000399,ANL-004,Discretionary,2026-07-28 05:53:00,Lead Analyst,INC-2026103,Escalated
ESC-0103,ALT-000401,ANL-009,Yes,2026-06-17 17:29:00,Tier-2 CSIRT,INC-2026104,Escalated
ESC-0104,ALT-000405,ANL-013,Yes,2026-08-25 10:28:00,Tier-2 CSIRT,INC-2026105,Escalated
ESC-0105,ALT-000411,ANL-006,Yes,2026-08-14 00:01:00,Tier-2 CSIRT,INC-2026106,Escalated
ESC-0106,ALT-000412,ANL-004,Discretionary,2026-07-08 15:47:00,Lead Analyst,INC-2026107,Escalated
ESC-0107,ALT-000422,ANL-008,Discretionary,2026-06-15 02:56:00,Lead Analyst,INC-2026108,Escalated
ESC-0108,ALT-000428,ANL-005,Yes,2026-08-19 11:31:00,Tier-2 CSIRT,INC-2026109,Escalated
ESC-0109,ALT-000430,ANL-001,Discretionary,2026-08-23 14:35:00,Lead Analyst,INC-2026110,Escalated
ESC-0110,ALT-000431,ANL-010,Yes,2026-07-01 13:18:00,Tier-2 CSIRT,INC-2026111,Escalated
ESC-0111,ALT-000434,ANL-008,Yes,2026-08-12 20:19:00,Tier-2 CSIRT,INC-2026112,Escalated
ESC-0112,ALT-000442,ANL-011,Discretionary,2026-07-02 12:30:00,Lead Analyst,INC-2026113,Escalated
ESC-0113,ALT-000444,ANL-001,Discretionary,2026-09-04 04:52:00,Lead Analyst,INC-2026114,Escalated
ESC-0114,ALT-000448,ANL-017,Discretionary,2026-07-31 03:54:00,Lead Analyst,INC-2026115,Escalated
ESC-0115,ALT-000449,ANL-003,Discretionary,2026-08-28 06:35:00,Lead Analyst,INC-2026116,Escalated
ESC-0116,ALT-000460,ANL-007,Yes,2026-06-12 14:29:00,Tier-2 CSIRT,INC-2026117,Escalated
ESC-0117,ALT-000466,ANL-011,Yes,2026-07-14 07:56:00,Tier-2 CSIRT,INC-2026118,Escalated
ESC-0118,ALT-000472,ANL-008,Discretionary,2026-08-05 16:32:00,Lead Analyst,INC-2026119,Escalated
ESC-0119,ALT-000473,ANL-020,Yes,2026-06-30 09:51:00,Tier-2 CSIRT,INC-2026120,Escalated
ESC-0120,ALT-000474,ANL-015,Discretionary,2026-08-30 19:53:00,Lead Analyst,INC-2026121,Escalated
ESC-0121,ALT-000480,ANL-013,Yes,2026-08-03 21:58:00,Tier-2 CSIRT,INC-2026122,Escalated
ESC-0122,ALT-000482,ANL-001,Discretionary,2026-07-04 03:17:00,Lead Analyst,INC-2026123,Escalated
ESC-0123,ALT-000483,ANL-018,Discretionary,2026-08-25 14:58:00,Lead Analyst,INC-2026124,Escalated
ESC-0124,ALT-000484,ANL-020,Yes,2026-08-25 20:39:00,Tier-2 CSIRT,INC-2026125,Escalated
ESC-0125,ALT-000489,ANL-010,Discretionary,2026-08-01 14:49:00,Lead Analyst,INC-2026126,Escalated
ESC-0126,ALT-000496,ANL-022,Yes,2026-06-13 19:15:00,Tier-2 CSIRT,INC-2026127,Escalated
ESC-0127,ALT-000498,ANL-022,Yes,2026-07-13 21:27:00,Tier-2 CSIRT,INC-2026128,Escalated
ESC-0128,ALT-000506,ANL-004,Discretionary,2026-06-15 03:35:00,Lead Analyst,INC-2026129,Escalated
ESC-0129,ALT-000510,ANL-006,Yes,2026-06-19 06:31:00,Tier-2 CSIRT,INC-2026130,Escalated
ESC-0130,ALT-000513,ANL-008,Discretionary,2026-06-28 16:07:00,Lead Analyst,INC-2026131,Escalated
ESC-0131,ALT-000515,ANL-006,Yes,2026-08-28 16:29:00,Tier-2 CSIRT,INC-2026132,Escalated
ESC-0132,ALT-000519,ANL-021,Discretionary,2026-07-11 14:06:00,Lead Analyst,INC-2026133,Escalated
ESC-0133,ALT-000520,ANL-011,Yes,2026-08-30 07:38:00,Tier-2 CSIRT,INC-2026134,Escalated
ESC-0134,ALT-000529,ANL-017,Yes,2026-08-23 12:27:00,Tier-2 CSIRT,INC-2026135,Escalated
ESC-0135,ALT-000532,ANL-021,Discretionary,2026-06-15 23:46:00,Lead Analyst,INC-2026136,Escalated
ESC-0136,ALT-000534,ANL-006,Discretionary,2026-06-20 09:33:00,Lead Analyst,INC-2026137,Escalated
ESC-0137,ALT-000535,ANL-002,Discretionary,2026-07-03 22:47:00,Lead Analyst,INC-2026138,Escalated
ESC-0138,ALT-000540,ANL-018,Yes,2026-08-17 06:01:00,Tier-2 CSIRT,INC-2026139,Escalated
ESC-0139,ALT-000546,ANL-012,Yes,2026-07-24 02:34:00,Tier-2 CSIRT,INC-2026140,Escalated
ESC-0140,ALT-000547,ANL-015,Discretionary,2026-06-15 08:08:00,Lead Analyst,INC-2026141,Escalated
ESC-0141,ALT-000550,ANL-020,Discretionary,2026-07-10 03:33:00,Lead Analyst,INC-2026142,Escalated
ESC-0142,ALT-000551,ANL-017,Discretionary,2026-08-04 13:03:00,Lead Analyst,INC-2026143,Escalated
ESC-0143,ALT-000560,ANL-006,Discretionary,2026-06-26 20:28:00,Lead Analyst,INC-2026144,Escalated
ESC-0144,ALT-000565,ANL-001,Discretionary,2026-09-04 00:39:00,Lead Analyst,INC-2026145,Escalated
ESC-0145,ALT-000568,ANL-012,Yes,2026-07-30 21:49:00,Tier-2 CSIRT,INC-2026146,Escalated
ESC-0146,ALT-000569,ANL-003,Discretionary,2026-06-21 23:56:00,Lead Analyst,INC-2026147,Escalated
ESC-0147,ALT-000573,ANL-019,Discretionary,2026-08-19 23:11:00,Lead Analyst,INC-2026148,Escalated
ESC-0148,ALT-000575,ANL-019,Yes,2026-07-13 04:31:00,Tier-2 CSIRT,INC-2026149,Escalated
ESC-0149,ALT-000578,ANL-008,Discretionary,2026-07-31 07:56:00,Lead Analyst,INC-2026150,Escalated
ESC-0150,ALT-000587,ANL-011,Yes,2026-07-26 20:42:00,Tier-2 CSIRT,INC-2026151,Escalated
ESC-0151,ALT-000588,ANL-021,Yes,2026-08-04 22:05:00,Tier-2 CSIRT,INC-2026152,Escalated
ESC-0152,ALT-000591,ANL-019,Discretionary,2026-08-24 13:10:00,Lead Analyst,INC-2026153,Escalated
ESC-0153,ALT-000600,ANL-016,Discretionary,2026-08-26 10:38:00,Lead Analyst,INC-2026154,Escalated
ESC-0154,ALT-000606,ANL-001,Discretionary,2026-06-28 03:45:00,Lead Analyst,INC-2026155,Escalated
ESC-0155,ALT-000608,ANL-014,Discretionary,2026-08-17 14:03:00,Lead Analyst,INC-2026156,Escalated
ESC-0156,ALT-000609,ANL-005,Discretionary,2026-09-09 21:32:00,Lead Analyst,INC-2026157,Escalated
ESC-0157,ALT-000611,ANL-004,Discretionary,2026-07-25 13:49:00,Lead Analyst,INC-2026158,Escalated
ESC-0158,ALT-000614,ANL-007,Discretionary,2026-08-02 23:20:00,Lead Analyst,INC-2026159,Escalated
ESC-0159,ALT-000626,ANL-002,Discretionary,2026-08-12 14:12:00,Lead Analyst,INC-2026160,Escalated
ESC-0160,ALT-000629,ANL-001,Discretionary,2026-07-03 08:18:00,Lead Analyst,INC-2026161,Escalated
ESC-0161,ALT-000635,ANL-011,Discretionary,2026-08-20 09:26:00,Lead Analyst,INC-2026162,Escalated
ESC-0162,ALT-000639,ANL-012,Discretionary,2026-09-09 00:58:00,Lead Analyst,INC-2026163,Escalated
ESC-0163,ALT-000643,ANL-012,Discretionary,2026-07-02 11:54:00,Lead Analyst,INC-2026164,Escalated
ESC-0164,ALT-000645,ANL-019,Discretionary,2026-07-03 06:02:00,Lead Analyst,INC-2026165,Escalated
ESC-0165,ALT-000648,ANL-021,Yes,2026-07-10 15:16:00,Tier-2 CSIRT,INC-2026166,Escalated
ESC-0166,ALT-000653,ANL-016,Yes,2026-07-01 23:51:00,Tier-2 CSIRT,INC-2026167,Escalated
ESC-0167,ALT-000656,ANL-021,Yes,2026-08-28 10:13:00,Tier-2 CSIRT,INC-2026168,Escalated
ESC-0168,ALT-000668,ANL-001,Yes,2026-08-27 22:34:00,Tier-2 CSIRT,INC-2026169,Escalated
ESC-0169,ALT-000670,ANL-011,Yes,2026-07-25 01:28:00,Tier-2 CSIRT,INC-2026170,Escalated
ESC-0170,ALT-000671,ANL-002,Discretionary,2026-06-18 00:50:00,Lead Analyst,INC-2026171,Escalated
ESC-0171,ALT-000680,ANL-008,Discretionary,2026-08-22 18:50:00,Lead Analyst,INC-2026172,Escalated
ESC-0172,ALT-000685,ANL-020,Discretionary,2026-07-04 16:21:00,Lead Analyst,INC-2026173,Escalated
ESC-0173,ALT-000687,ANL-003,Yes,2026-07-18 02:09:00,Tier-2 CSIRT,INC-2026174,Escalated
ESC-0174,ALT-000689,ANL-007,Discretionary,2026-06-18 13:39:00,Lead Analyst,INC-2026175,Escalated
ESC-0175,ALT-000691,ANL-001,Discretionary,2026-08-25 03:40:00,Lead Analyst,INC-2026176,Escalated
ESC-0176,ALT-000692,ANL-018,Discretionary,2026-07-29 13:15:00,Lead Analyst,INC-2026177,Escalated
ESC-0177,ALT-000694,ANL-015,Discretionary,2026-07-18 03:57:00,Lead Analyst,INC-2026178,Escalated
ESC-0178,ALT-000698,ANL-003,Discretionary,2026-09-01 08:39:00,Lead Analyst,INC-2026179,Escalated
ESC-0179,ALT-000701,ANL-020,Yes,2026-07-29 08:41:00,Tier-2 CSIRT,INC-2026180,Escalated
ESC-0180,ALT-000705,ANL-015,Yes,2026-07-03 00:42:00,Tier-2 CSIRT,INC-2026181,Escalated
ESC-0181,ALT-000709,ANL-002,Yes,2026-07-19 08:16:00,Tier-2 CSIRT,INC-2026182,Escalated
ESC-0182,ALT-000715,ANL-022,Discretionary,2026-07-05 00:37:00,Lead Analyst,INC-2026183,Escalated
ESC-0183,ALT-000717,ANL-007,Yes,2026-07-23 21:55:00,Tier-2 CSIRT,INC-2026184,Escalated
ESC-0184,ALT-000732,ANL-014,Yes,2026-09-04 06:36:00,Tier-2 CSIRT,INC-2026185,Escalated
ESC-0185,ALT-000734,ANL-001,Yes,2026-06-25 22:48:00,Tier-2 CSIRT,INC-2026186,Escalated
ESC-0186,ALT-000735,ANL-017,Discretionary,2026-06-19 11:25:00,Lead Analyst,INC-2026187,Escalated
ESC-0187,ALT-000746,ANL-004,Discretionary,2026-08-25 22:26:00,Lead Analyst,INC-2026188,Escalated
ESC-0188,ALT-000747,ANL-011,Yes,2026-06-12 14:52:00,Tier-2 CSIRT,INC-2026189,Escalated
ESC-0189,ALT-000762,ANL-003,Yes,2026-08-04 23:14:00,Tier-2 CSIRT,INC-2026190,Escalated
ESC-0190,ALT-000763,ANL-022,Yes,2026-07-24 17:32:00,Tier-2 CSIRT,INC-2026191,Escalated
ESC-0191,ALT-000770,ANL-017,Discretionary,2026-08-15 16:33:00,Lead Analyst,INC-2026192,Escalated
ESC-0192,ALT-000771,ANL-012,Yes,2026-06-29 06:24:00,Tier-2 CSIRT,INC-2026193,Escalated
ESC-0193,ALT-000780,ANL-010,Yes,2026-07-27 12:44:00,Tier-2 CSIRT,INC-2026194,Escalated
ESC-0194,ALT-000784,ANL-011,Discretionary,2026-07-01 05:29:00,Lead Analyst,INC-2026195,Escalated
ESC-0195,ALT-000797,ANL-003,Discretionary,2026-08-10 15:22:00,Lead Analyst,INC-2026196,Escalated
ESC-0196,ALT-000806,ANL-004,Yes,2026-06-24 04:20:00,Tier-2 CSIRT,INC-2026197,Escalated
ESC-0197,ALT-000811,ANL-003,Discretionary,2026-07-11 06:25:00,Lead Analyst,INC-2026198,Escalated
ESC-0198,ALT-000813,ANL-009,Yes,2026-08-10 19:31:00,Tier-2 CSIRT,INC-2026199,Escalated
ESC-0199,ALT-000814,ANL-003,Yes,2026-09-02 00:11:00,Tier-2 CSIRT,INC-2026200,Escalated
ESC-0200,ALT-000817,ANL-012,Yes,2026-07-19 18:56:00,Tier-2 CSIRT,INC-2026201,Escalated
ESC-0201,ALT-000827,ANL-019,Discretionary,2026-06-17 20:44:00,Lead Analyst,INC-2026202,Escalated
ESC-0202,ALT-000830,ANL-002,Discretionary,2026-08-27 17:24:00,Lead Analyst,INC-2026203,Escalated
ESC-0203,ALT-000831,ANL-003,Yes,2026-06-28 23:12:00,Tier-2 CSIRT,INC-2026204,Escalated
ESC-0204,ALT-000835,ANL-022,Yes,2026-08-04 20:50:00,Tier-2 CSIRT,INC-2026205,Escalated
ESC-0205,ALT-000846,ANL-011,Discretionary,2026-08-21 08:39:00,Lead Analyst,INC-2026206,Escalated
ESC-0206,ALT-000851,ANL-014,Discretionary,2026-07-20 13:43:00,Lead Analyst,INC-2026207,Escalated
ESC-0207,ALT-000857,ANL-018,Discretionary,2026-08-12 10:47:00,Lead Analyst,INC-2026208,Escalated
ESC-0208,ALT-000858,ANL-003,Discretionary,2026-07-03 06:30:00,Lead Analyst,INC-2026209,Escalated
ESC-0209,ALT-000860,ANL-020,Yes,2026-07-13 00:36:00,Tier-2 CSIRT,INC-2026210,Escalated
ESC-0210,ALT-000861,ANL-017,Discretionary,2026-07-25 19:13:00,Lead Analyst,INC-2026211,Escalated
ESC-0211,ALT-000862,ANL-010,Discretionary,2026-07-29 00:52:00,Lead Analyst,INC-2026212,Escalated
ESC-0212,ALT-000870,ANL-014,Discretionary,2026-09-10 08:22:00,Lead Analyst,INC-2026213,Escalated
ESC-0213,ALT-000879,ANL-009,Yes,2026-06-30 15:17:00,Tier-2 CSIRT,INC-2026214,Escalated
ESC-0214,ALT-000883,ANL-008,Yes,2026-07-01 06:30:00,Tier-2 CSIRT,INC-2026215,Escalated
ESC-0215,ALT-000886,ANL-002,Yes,2026-09-01 05:02:00,Tier-2 CSIRT,INC-2026216,Escalated
ESC-0216,ALT-000888,ANL-005,Discretionary,2026-09-02 23:21:00,Lead Analyst,INC-2026217,Escalated
ESC-0217,ALT-000891,ANL-011,Discretionary,2026-08-22 13:33:00,Lead Analyst,INC-2026218,Escalated
ESC-0218,ALT-000893,ANL-019,Discretionary,2026-06-23 09:20:00,Lead Analyst,INC-2026219,Escalated
ESC-0219,ALT-000895,ANL-021,Yes,2026-07-31 23:41:00,Tier-2 CSIRT,INC-2026220,Escalated
ESC-0220,ALT-000897,ANL-004,Discretionary,2026-08-30 00:54:00,Lead Analyst,INC-2026221,Escalated
ESC-0221,ALT-000904,ANL-022,Discretionary,2026-07-13 18:21:00,Lead Analyst,INC-2026222,Escalated
ESC-0222,ALT-000907,ANL-019,Discretionary,2026-07-07 14:27:00,Lead Analyst,INC-2026223,Escalated
ESC-0223,ALT-000909,ANL-019,Yes,2026-08-18 00:06:00,Tier-2 CSIRT,INC-2026224,Escalated
ESC-0224,ALT-000911,ANL-020,Discretionary,2026-07-04 10:57:00,Lead Analyst,INC-2026225,Escalated
ESC-0225,ALT-000913,ANL-011,Discretionary,2026-08-26 17:11:00,Lead Analyst,INC-2026226,Escalated
ESC-0226,ALT-000915,ANL-021,Discretionary,2026-06-24 14:39:00,Lead Analyst,INC-2026227,Escalated
ESC-0227,ALT-000916,ANL-004,Yes,2026-06-24 10:47:00,Tier-2 CSIRT,INC-2026228,Escalated
ESC-0228,ALT-000917,ANL-003,Discretionary,2026-08-17 23:58:00,Lead Analyst,INC-2026229,Escalated
ESC-0229,ALT-000924,ANL-007,Yes,2026-07-02 01:44:00,Tier-2 CSIRT,INC-2026230,Escalated
ESC-0230,ALT-000925,ANL-003,Yes,2026-06-20 04:20:00,Tier-2 CSIRT,INC-2026231,Escalated
ESC-0231,ALT-000932,ANL-012,Yes,2026-08-24 22:05:00,Tier-2 CSIRT,INC-2026232,Escalated
ESC-0232,ALT-000933,ANL-015,Yes,2026-06-22 02:20:00,Tier-2 CSIRT,INC-2026233,Escalated
