investigation_id,alert_id,analyst_id,started_at,closed_at,investigation_duration,investigation_notes,evidence_count,artifacts_collected,closure_reason,escalated
INV-00058,ALT-000104,ANL-013,2026-06-13 15:50:00,2026-06-13 16:27:18,37.3,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,2,Benign Operation,No
INV-00059,ALT-000105,ANL-021,2026-06-25 15:00:00,2026-06-25 15:25:18,25.3,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Containment Verified,Yes
INV-00060,ALT-000108,ANL-005,2026-08-10 23:30:00,2026-08-10 23:48:54,18.9,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",3,4,Benign Operation,No
INV-00061,ALT-000109,ANL-021,2026-08-27 23:05:00,2026-08-27 23:27:54,22.9,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,2,Benign Operation,No
INV-00062,ALT-000113,ANL-003,2026-07-08 01:12:00,2026-07-08 01:45:48,33.8,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,4,Benign Operation,No
INV-00063,ALT-000115,ANL-022,2026-06-23 13:42:00,2026-06-23 14:20:30,38.5,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Containment Verified,Yes
INV-00064,ALT-000117,ANL-012,2026-09-10 04:13:00,2026-09-10 04:36:36,23.6,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Benign Operation,No
INV-00065,ALT-000118,ANL-017,2026-06-29 14:53:00,2026-06-29 15:10:42,17.7,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Benign Operation,No
INV-00066,ALT-000123,ANL-010,2026-06-29 21:01:00,2026-06-29 21:40:18,39.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",3,3,Benign Operation,No
INV-00067,ALT-000124,ANL-003,2026-06-16 21:28:00,2026-06-16 21:50:54,22.9,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,4,Containment Verified,Yes
INV-00068,ALT-000125,ANL-016,2026-08-31 23:48:00,2026-09-01 00:02:30,14.5,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,2,Benign Operation,No
INV-00069,ALT-000127,ANL-001,2026-08-29 08:24:00,2026-08-29 08:44:48,20.8,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,3,Containment Verified,Yes
INV-00070,ALT-000129,ANL-013,2026-09-06 23:04:00,2026-09-06 23:45:30,41.5,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,4,Benign Operation,No
INV-00071,ALT-000133,ANL-018,2026-06-19 11:42:00,2026-06-19 12:01:24,19.4,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,2,Benign Operation,No
INV-00072,ALT-000135,ANL-003,2026-09-05 05:44:00,2026-09-05 06:25:54,41.9,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",3,4,Benign Operation,No
INV-00073,ALT-000136,ANL-015,2026-08-07 07:45:00,2026-08-07 08:19:24,34.4,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,4,Containment Verified,Yes
INV-00074,ALT-000137,ANL-005,2026-07-09 15:23:00,2026-07-09 15:47:18,24.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,4,Containment Verified,No
INV-00075,ALT-000138,ANL-011,2026-08-27 02:57:00,2026-08-27 03:37:54,40.9,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,4,Containment Verified,Yes
INV-00076,ALT-000139,ANL-007,2026-07-02 10:33:00,2026-07-02 10:52:36,19.6,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,2,Benign Operation,No
INV-00077,ALT-000140,ANL-010,2026-08-05 22:06:00,2026-08-05 22:39:54,33.9,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,4,Containment Verified,No
INV-00078,ALT-000143,ANL-003,2026-09-10 01:30:00,2026-09-10 01:56:36,26.6,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,4,Benign Operation,No
INV-00079,ALT-000145,ANL-017,2026-08-03 05:14:00,2026-08-03 05:35:00,21.0,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,4,Containment Verified,Yes
INV-00080,ALT-000147,ANL-021,2026-06-17 04:25:00,2026-06-17 04:50:42,25.7,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,2,Containment Verified,Yes
INV-00081,ALT-000148,ANL-015,2026-07-24 04:07:00,2026-07-24 04:32:36,25.6,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,2,Benign Operation,No
INV-00082,ALT-000150,ANL-005,2026-06-30 10:31:00,2026-06-30 11:11:30,40.5,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,3,Containment Verified,No
INV-00083,ALT-000151,ANL-010,2026-07-09 12:45:00,2026-07-09 13:13:12,28.2,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,2,Benign Operation,No
INV-00084,ALT-000153,ANL-013,2026-06-30 16:41:00,2026-06-30 16:56:24,15.4,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,2,Containment Verified,Yes
INV-00085,ALT-000154,ANL-004,2026-07-30 02:05:00,2026-07-30 02:41:18,36.3,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,4,Benign Operation,No
INV-00086,ALT-000155,ANL-017,2026-09-05 16:23:00,2026-09-05 17:02:00,39.0,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,3,Containment Verified,Yes
INV-00087,ALT-000156,ANL-019,2026-08-02 09:39:00,2026-08-02 10:03:18,24.3,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,2,Containment Verified,Yes
INV-00088,ALT-000157,ANL-019,2026-07-27 15:58:00,2026-07-27 16:16:48,18.8,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",5,4,Benign Operation,No
INV-00089,ALT-000160,ANL-011,2026-09-01 23:56:00,2026-09-02 00:31:36,35.6,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,4,Containment Verified,No
INV-00090,ALT-000161,ANL-016,2026-08-02 04:14:00,2026-08-02 04:35:42,21.7,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,4,Containment Verified,Yes
INV-00091,ALT-000164,ANL-008,2026-07-23 04:30:00,2026-07-23 04:53:12,23.2,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",4,2,Containment Verified,Yes
INV-00092,ALT-000165,ANL-021,2026-09-01 19:45:00,2026-09-01 20:17:18,32.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",3,4,Containment Verified,No
INV-00093,ALT-000166,ANL-010,2026-06-18 13:13:00,2026-06-18 13:43:54,30.9,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",4,3,Benign Operation,No
INV-00094,ALT-000168,ANL-019,2026-07-26 05:53:00,2026-07-26 06:11:54,18.9,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,3,Containment Verified,Yes
INV-00095,ALT-000169,ANL-009,2026-08-06 14:10:00,2026-08-06 14:40:18,30.3,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",5,2,Containment Verified,No
INV-00096,ALT-000170,ANL-004,2026-08-30 18:30:00,2026-08-30 18:54:18,24.3,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",3,2,Containment Verified,Yes
INV-00097,ALT-000177,ANL-002,2026-07-19 12:41:00,2026-07-19 13:22:36,41.6,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,2,Containment Verified,Yes
INV-00098,ALT-000179,ANL-018,2026-07-05 00:50:00,2026-07-05 01:27:24,37.4,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,3,Benign Operation,No
INV-00099,ALT-000180,ANL-007,2026-08-16 02:17:00,2026-08-16 02:52:24,35.4,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",3,4,Containment Verified,No
INV-00100,ALT-000181,ANL-022,2026-06-23 19:31:00,2026-06-23 19:46:12,15.2,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Benign Operation,No
INV-00101,ALT-000183,ANL-008,2026-08-06 01:25:00,2026-08-06 01:40:42,15.7,"Memory dump and Windows Event Log 4624/4625 scrutinized. Lateral movement attempt blocked by host firewall. Evidence artifacts securely archived in vault.",5,4,Containment Verified,No
INV-00102,ALT-000186,ANL-008,2026-08-21 18:30:00,2026-08-21 19:09:48,39.8,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",4,2,Benign Operation,No
INV-00103,ALT-000187,ANL-022,2026-06-19 02:12:00,2026-06-19 02:31:48,19.8,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,3,Containment Verified,Yes
INV-00104,ALT-000189,ANL-004,2026-08-12 15:44:00,2026-08-12 16:11:06,27.1,"Investigated suspicious PowerShell invocation with base64 encoded command. Decoded payload revealed credential harvesting script. Credentials revoked and host quarantined.",4,2,Containment Verified,Yes
INV-00105,ALT-000190,ANL-014,2026-06-15 02:25:00,2026-06-15 02:49:36,24.6,"Validated alert with scheduled task audit. Discovered persistence backdoor under TaskScheduler. Scheduled task deleted and hash submitted for blacklisting.",3,3,Benign Operation,No
INV-00106,ALT-000192,ANL-021,2026-08-11 10:28:00,2026-08-11 10:42:54,14.9,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",3,4,Containment Verified,No
INV-00107,ALT-000193,ANL-017,2026-07-21 19:26:00,2026-07-21 19:58:42,32.7,"Correlated firewall drop events with endpoint DNS query logs. Detected domain fronting attempt against CDN endpoint. Evidence artifacts and PCAP extract attached.",5,3,Benign Operation,No
INV-00108,ALT-000196,ANL-013,2026-08-11 19:41:00,2026-08-11 20:01:18,20.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Benign Operation,No
INV-00109,ALT-000198,ANL-017,2026-08-07 21:00:00,2026-08-07 21:38:54,38.9,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",4,3,Benign Operation,No
INV-00110,ALT-000200,ANL-013,2026-08-19 08:18:00,2026-08-19 08:41:18,23.3,"Triage initiated following telemetry trigger. Process tree analyzed down to parent PID. Network socket correlation confirmed outbound SSL beaconing to untrusted external IP. Host isolated pending escalation.",5,2,Containment Verified,Yes
